date,token_id,price,trading_volume,trend,post_counts
2024-03-12,mog-coin,8.31625826514274e-07,9025126.014,5,2
2024-03-13,shiba-inu,3.21769105700373e-05,1877523434.0,5,5
2024-03-13,pepe,8.26909283937774e-06,1038471853.0,66,5
2024-03-13,bonk,2.88048045995703e-05,301838098.8,7,5
2024-03-13,floki,0.000269910623281815,1005386214.0,9,5
2024-03-13,mog-coin,8.35489448202049e-07,8875920.728,5,5
2024-03-14,shiba-inu,3.200298030142e-05,1273334757.0,5,3
2024-03-14,pepe,9.02487211896543e-06,1801594521.0,64,3
2024-03-14,bonk,3.19985775286706e-05,502784950.6,9,3
2024-03-14,floki,0.000269136596944566,570734853.3,10,3
2024-03-14,mog-coin,8.84974855473863e-07,13886402.15,7,3
2024-03-15,shiba-inu,3.22770426036242e-05,2868211606.0,4,11
2024-03-15,pepe,1.00252379250056e-05,3205490525.0,57,11
2024-03-15,bonk,3.42680442556653e-05,908223313.9,6,11
2024-03-15,floki,0.000278679762335129,1238213689.0,8,11
2024-03-15,mog-coin,1.20130563915883e-06,35082927.87,6,11
2024-03-16,shiba-inu,2.99003463540202e-05,2498057739.0,4,1
2024-03-16,pepe,8.95116724460847e-06,1924349693.0,60,1
2024-03-16,bonk,2.96840313938437e-05,586235706.5,7,1
2024-03-16,floki,0.000267967712210734,828468605.9,8,1
2024-03-16,mog-coin,9.33653091115653e-07,17720031.16,6,1
2024-03-17,shiba-inu,2.50575901168204e-05,1823996533.0,4,8
2024-03-17,pepe,7.35708679094829e-06,1552340128.0,59,8
2024-03-17,bonk,2.5061817881261e-05,354771733.5,6,8
2024-03-17,floki,0.000211058417264625,615600821.2,7,8
2024-03-17,mog-coin,6.80304661245316e-07,14395725.93,6,8
2024-03-18,shiba-inu,2.92994477658864e-05,2496562836.0,4,5
2024-03-18,pepe,7.83618904926955e-06,1300440384.0,48,5
2024-03-18,bonk,2.81509797041053e-05,346736328.9,6,5
2024-03-18,floki,0.000222485772433796,505940073.1,7,5
2024-03-18,mog-coin,9.24629945349221e-07,16412775.04,6,5
2024-03-19,shiba-inu,2.68844515557632e-05,1583083427.0,4,3
2024-03-19,pepe,6.81714313300552e-06,935113006.5,53,3
2024-03-19,bonk,2.35935397612926e-05,271737004.9,6,3
2024-03-19,floki,0.000192451957331209,414864778.8,7,3
2024-03-19,mog-coin,7.44998915344581e-07,12123679.71,6,3
2024-03-20,shiba-inu,2.49239019423135e-05,2089890007.0,3,1
2024-03-20,pepe,6.56441042055591e-06,1483733177.0,47,1
2024-03-20,bonk,2.17036910255594e-05,325827342.7,6,1
2024-03-20,floki,0.000176398843922227,533748198.7,7,1
2024-03-20,mog-coin,6.84096730120014e-07,15765517.47,6,1
2024-03-21,shiba-inu,2.77073536390132e-05,1873137885.0,4,8
2024-03-21,pepe,8.42416889684243e-06,1944600581.0,52,8
2024-03-21,bonk,2.45680540923697e-05,286022609.0,5,8
2024-03-21,floki,0.000234748575930687,749891679.9,9,8
2024-03-21,mog-coin,8.66283378732834e-07,12037655.08,6,8
2024-03-22,shiba-inu,2.7194365624018e-05,1462558351.0,3,3
2024-03-22,pepe,7.90508653346624e-06,1052344280.0,54,3
2024-03-22,bonk,2.28311977447013e-05,172088900.0,5,3
2024-03-22,floki,0.000214823276456577,863637217.6,8,3
2024-03-22,mog-coin,7.23780911169057e-07,8424507.504,6,3
2024-03-23,shiba-inu,2.64385176309692e-05,1110651465.0,3,1
2024-03-23,pepe,7.39050602811133e-06,835445868.3,58,1
2024-03-23,bonk,2.16399220212206e-05,147522626.9,5,1
2024-03-23,floki,0.000226531885519424,663870910.3,7,1
2024-03-23,mog-coin,7.21303297334958e-07,5435863.866,6,1
2024-03-24,shiba-inu,2.72608467997687e-05,1015012967.0,3,2
2024-03-24,pepe,7.33517391737309e-06,593737338.8,57,2
2024-03-24,bonk,2.21578533613985e-05,123743840.6,5,2
2024-03-24,floki,0.000229922259246807,474225254.0,7,2
2024-03-24,mog-coin,7.99747018660217e-07,5998586.802,7,2
2024-03-25,shiba-inu,2.80896064761479e-05,906465055.3,3,0
2024-03-25,pepe,7.81100087103428e-06,522368825.3,48,0
2024-03-25,bonk,2.40922566974088e-05,123549261.7,5,0
2024-03-25,floki,0.000240340433785468,394840211.1,6,0
2024-03-25,mog-coin,9.92865166308524e-07,12279349.42,6,0
2024-03-26,shiba-inu,2.8666900488207e-05,1592197511.0,3,0
2024-03-26,pepe,8.09794980889845e-06,1031163305.0,49,0
2024-03-26,bonk,2.52262796257512e-05,198674097.5,6,0
2024-03-26,floki,0.000241204827739364,633010893.1,6,0
2024-03-26,mog-coin,9.12832369435989e-07,11186843.12,8,0
2024-03-27,shiba-inu,3.06994683908102e-05,1647980499.0,4,1
2024-03-27,pepe,8.04489242633446e-06,893621990.0,79,1
2024-03-27,bonk,2.6984982436643e-05,263128450.5,5,1
2024-03-27,floki,0.000242273260581492,470381800.3,5,1
2024-03-27,mog-coin,8.79110974237869e-07,7871237.723,7,1
2024-03-28,shiba-inu,3.0150225545421e-05,1529059126.0,4,1
2024-03-28,pepe,7.64419037487021e-06,650597819.1,50,1
2024-03-28,bonk,2.59235928129649e-05,173380727.8,6,1
2024-03-28,floki,0.000225477989635281,338725152.0,6,1
2024-03-28,mog-coin,7.47501235375772e-07,8282228.267,6,1
2024-03-29,shiba-inu,3.20021833156739e-05,1729809471.0,3,0
2024-03-29,pepe,7.97656950699307e-06,781831298.8,54,0
2024-03-29,bonk,2.82826868421108e-05,319895482.7,5,0
2024-03-29,floki,0.000251719825232955,886418701.2,6,0
2024-03-29,mog-coin,8.25709984473565e-07,9100576.369,7,0
2024-03-30,shiba-inu,3.08454955611977e-05,981850718.8,3,0
2024-03-30,pepe,7.75949639920046e-06,458059750.1,58,0
2024-03-30,bonk,2.64146477546195e-05,182999311.0,5,0
2024-03-30,floki,0.000240682152504856,322824034.3,5,0
2024-03-30,mog-coin,6.73244794663843e-07,21235819.02,7,0
2024-03-31,shiba-inu,2.9857539055414e-05,719054088.4,3,2
2024-03-31,pepe,8.09303746349947e-06,1026396410.0,57,2
2024-03-31,bonk,2.70331368406617e-05,227142161.9,5,2
2024-03-31,floki,0.000243609063417498,429178041.0,6,2
2024-03-31,mog-coin,7.15964812085446e-07,22061507.47,6,2
2024-04-01,shiba-inu,3.07385765690033e-05,472742373.4,4,1
2024-04-01,pepe,8.77804490375848e-06,919301966.0,68,1
2024-04-01,bonk,2.80108654044497e-05,137012757.0,7,1
2024-04-01,floki,0.000248401660041815,322314936.6,7,1
2024-04-01,mog-coin,7.46741504392185e-07,14124455.94,9,1
2024-04-02,shiba-inu,2.86801782035839e-05,861926796.7,4,1
2024-04-02,pepe,7.95144626174999e-06,914208807.0,69,1
2024-04-02,bonk,2.5876910230591e-05,162526914.9,7,1
2024-04-02,floki,0.000233965286900843,290812977.3,7,1
2024-04-02,mog-coin,6.30490895872239e-07,14077775.57,9,1
2024-04-03,shiba-inu,2.64052502770827e-05,1015410813.0,4,1
2024-04-03,pepe,7.26143384116025e-06,914592083.7,65,1
2024-04-03,bonk,2.26880612950566e-05,151446076.3,6,1
2024-04-03,floki,0.000209469983701127,299502759.9,6,1
2024-04-03,mog-coin,6.18008039307057e-07,10626670.14,8,1
2024-04-04,shiba-inu,2.63883553272325e-05,813080089.0,4,0
2024-04-04,pepe,6.82766692376424e-06,658543852.1,70,0
2024-04-04,bonk,2.24846376564409e-05,121737352.4,7,0
2024-04-04,floki,0.000199306580017223,236499112.8,6,0
2024-04-04,mog-coin,5.6621443313263e-07,4329974.04,9,0
2024-04-05,shiba-inu,2.76796532255479e-05,673493264.6,4,0
2024-04-05,pepe,6.911565628311e-06,483595719.9,72,0
2024-04-05,bonk,2.31027752523873e-05,399414404.1,7,0
2024-04-05,floki,0.000200749282371882,214337151.8,6,0
2024-04-05,mog-coin,5.43449982854434e-07,7560304.201,9,0
2024-04-06,shiba-inu,2.68461479965129e-05,564132888.6,3,0
2024-04-06,pepe,6.59878373789184e-06,408609476.4,78,0
2024-04-06,bonk,2.18874864852164e-05,107942115.8,6,0
2024-04-06,floki,0.000188649589174166,155936606.8,7,0
2024-04-06,mog-coin,5.61782228271608e-07,10610738.9,10,0
2024-04-07,shiba-inu,2.75124937315935e-05,375990057.2,5,2
2024-04-07,pepe,6.78335670732124e-06,261489595.7,77,2
2024-04-07,bonk,2.27483308979471e-05,76641968.37,6,2
2024-04-07,floki,0.000195946757749685,144387693.0,7,2
2024-04-07,mog-coin,5.99327760540153e-07,6312158.969,10,2
2024-04-08,shiba-inu,2.82378610564782e-05,721684448.7,4,0
2024-04-08,pepe,7.45927205089506e-06,538870245.7,67,0
2024-04-08,bonk,2.35584369378819e-05,90524736.43,6,0
2024-04-08,floki,0.000205477060059567,212078176.2,7,0
2024-04-08,mog-coin,6.15702146038048e-07,9035280.061,9,0
2024-04-09,shiba-inu,2.8747948707785e-05,699623201.5,4,1
2024-04-09,pepe,7.76765431385349e-06,622586224.1,65,1
2024-04-09,bonk,2.44125767750959e-05,113637571.7,6,1
2024-04-09,floki,0.000215496911427113,215697984.4,6,1
2024-04-09,mog-coin,6.28710587259842e-07,11858519.94,8,1
2024-04-10,shiba-inu,2.74829344693171e-05,658160508.7,4,1
2024-04-10,pepe,7.0355551659952e-06,516150076.3,66,1
2024-04-10,bonk,2.22922177090146e-05,98598026.7,6,1
2024-04-10,floki,0.000198755659619459,156074564.7,6,1
2024-04-10,mog-coin,5.68406040418179e-07,5932131.66,8,1
2024-04-11,shiba-inu,2.79788166882364e-05,650772538.7,4,9
2024-04-11,pepe,7.11908251839787e-06,555482091.8,72,9
2024-04-11,bonk,2.26491853515581e-05,103169061.8,6,9
2024-04-11,floki,0.000197586353282044,171654588.2,6,9
2024-04-11,mog-coin,5.98972482850543e-07,5029983.524,9,9
2024-04-12,shiba-inu,2.75444052451199e-05,444247026.6,5,1
2024-04-12,pepe,7.3300370212833e-06,689857694.4,74,1
2024-04-12,bonk,2.17347626856619e-05,79083639.49,6,1
